invoice_no,isolation_score,lof_score,zscore_score,ensemble_score,final_risk_score,risk_level,explanation
INV000001,0.0305058162243015,0.0071844585289019,0.1750858699952361,0.0709253815828131,0.0709253815828131,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000002,0.563663118344766,0.0126191467142946,1.0,0.5254274216863536,0.5254274216863536,Medium,Isolation Forest detected an anomalous pattern (requires review); Z-score analysis detected extreme feature values; Unusual buyer activity detected (high z-score); Anomalous feature detected: supplier_buyer_frequency; Anomalous feature detected: buyer_daily_frequency; Anomalous feature detected: daily_transaction_frequency
INV000003,0.0718903177019644,0.0072052112756783,0.1338751345689763,0.0709902211822063,0.0709902211822063,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000004,0.0334063787810719,0.0048174152134865,0.1545863539834466,0.0642700493260016,0.0642700493260016,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000005,0.0530125563563992,0.0037761475839458,0.2654638267440015,0.1074175102281155,0.1074175102281155,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000006,0.1624228842955797,0.003324653950579,0.5254966322511805,0.230414723499113,0.230414723499113,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000007,0.0411576440561898,0.0033207596813812,0.2543970133219407,0.0996251390198372,0.0996251390198372,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000008,0.1205455914588709,0.0074581481251046,0.4135935234581536,0.180532421014043,0.180532421014043,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000009,0.345989165622389,0.0057212727064746,0.3032671258913458,0.2183258547400698,0.2183258547400698,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000010,0.2036986320367666,0.0019447924521793,0.8513167946199491,0.3523200730362983,0.3523200730362983,Medium,Z-score analysis detected extreme feature values; Anomalous feature detected: supplier_buyer_frequency
INV000011,0.1344615241205873,0.0100798082746771,0.8513167946199491,0.3319527090050712,0.3319527090050712,Medium,Z-score analysis detected extreme feature values; Anomalous feature detected: supplier_buyer_frequency
INV000012,0.108747837679901,0.0246933911017387,0.3283828063178783,0.1539413450331727,0.1539413450331727,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000013,0.1229234465093801,0.0042816775568229,0.3647634273130551,0.1639895171264193,0.1639895171264193,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000014,0.051395859853107,0.0020009582144008,0.3032671258913458,0.1188879813196178,0.1188879813196178,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000015,0.5374830632826703,0.0027147215510564,1.0,0.5133992616112423,0.5133992616112423,Medium,Isolation Forest detected an anomalous pattern (requires review); Z-score analysis detected extreme feature values; Unusual supplier activity detected (high z-score); Anomalous feature detected: supplier_daily_frequency; Anomalous feature detected: daily_transaction_frequency
INV000016,0.0914654208116823,0.0015899618408652,0.3032671258913458,0.1321075028479644,0.1321075028479644,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000017,0.089188636875343,0.0025683504868835,0.1408677474769343,0.0775415782797202,0.0775415782797202,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000018,0.0905998583826168,0.0074099148718616,0.3032671258913458,0.1337589663819414,0.1337589663819414,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000019,0.1309094073832474,0.0068042596239829,0.2654638267440015,0.1343924979170772,0.1343924979170772,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000020,0.0717210964203166,0.0022493716886919,0.2753286440587778,0.1164330373892621,0.1164330373892621,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000021,0.1703068958330242,0.0070673294783469,0.3051263403037597,0.1608335218717102,0.1608335218717102,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000022,0.3593023385330457,0.0052399496208591,0.2654638267440015,0.2100020382993021,0.2100020382993021,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000023,0.1660070909592219,0.0021944404279019,0.3356997890964434,0.1679671068278557,0.1679671068278557,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000024,0.5811685180077345,0.0051705328170837,0.3647634273130551,0.3170341593792911,0.3170341593792911,Low,Isolation Forest detected an anomalous pattern (requires review)
INV000025,0.0753509513602531,0.0038499900078176,0.250892741229137,0.1100312275324025,0.1100312275324025,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000026,0.1410788940407461,0.0050147927986931,0.8513167946199491,0.3324701604864628,0.3324701604864628,Medium,Z-score analysis detected extreme feature values; Anomalous feature detected: supplier_buyer_frequency
INV000027,0.1147046369989687,0.0040801662351798,0.4135935237047754,0.1774594423129746,0.1774594423129746,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000028,0.0405564216645198,0.003300774851286,0.3032671258913458,0.1157081074690505,0.1157081074690505,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000029,0.1312491505360894,0.0026209243899477,0.3032671258913458,0.145712400272461,0.145712400272461,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000030,0.2448804480707558,0.0046067353538805,0.1914454057228278,0.1469775297158213,0.1469775297158213,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000031,0.0402788232183241,0.0032152279378708,0.1933588500711379,0.0789509670757776,0.0789509670757776,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000032,0.4235095595139143,0.0032474734148008,1.0,0.475585677642905,0.475585677642905,Medium,Isolation Forest detected an anomalous pattern (requires review); Z-score analysis detected extreme feature values; Unusual supplier activity detected (high z-score); Anomalous feature detected: supplier_daily_frequency; Anomalous feature detected: daily_transaction_frequency
INV000033,0.1004003827625139,0.0024433863689753,0.142684693215948,0.081842820782479,0.081842820782479,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000034,0.1147433740151421,0.0017786875048131,0.2753286440587778,0.1306169018595776,0.1306169018595776,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000035,0.0961630907762432,0.0025855577257598,0.3400483228330114,0.1462656571116714,0.1462656571116714,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000036,0.0634055408865879,0.0054358593321346,0.3032671258913458,0.1240361753700227,0.1240361753700227,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000037,0.083348011001673,0.0012237715349166,0.2680116612802127,0.1175278146056007,0.1175278146056007,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000038,0.0833983971242092,0.0023986510040579,0.3647634273130551,0.1501868251471074,0.1501868251471074,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000039,0.0303017871824366,0.0053408058685805,0.2654638267440015,0.1003688065983395,0.1003688065983395,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000040,0.0509577274833318,0.0025875902836546,0.1750858699952361,0.0762103959207408,0.0762103959207408,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000041,0.234479027644359,0.0026960366482613,0.8513167946199491,0.3628306196375231,0.3628306196375231,Medium,Z-score analysis detected extreme feature values; Anomalous feature detected: supplier_buyer_frequency
INV000042,0.0453163247099127,0.0010266224728275,0.1933588500711379,0.079900599084626,0.079900599084626,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000043,0.0235143455034432,0.0024833452930349,0.1545863539834466,0.0601946815933082,0.0601946815933082,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000044,0.1307720386491946,0.0056069376491304,0.3399288117002753,0.1587692626662001,0.1587692626662001,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000045,0.0566373154142089,0.0048310844506539,0.3051263354698977,0.1221982451115868,0.1221982451115868,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000046,0.0659527405863962,0.0094831194872652,0.2543970133219407,0.1099442911318673,0.1099442911318673,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000047,0.5081870594573284,0.0048740558693156,0.4564469178563828,0.3231693443943422,0.3231693443943422,Low,Isolation Forest detected an anomalous pattern (requires review)
INV000048,0.08856517576735,0.0048629131413636,0.3051263355685487,0.1328514748257541,0.1328514748257541,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000049,0.0490427427919731,0.0059366538707442,0.1966591472103436,0.0838795146243536,0.0838795146243536,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000050,0.0976774831938243,0.0071500852879492,0.3605341794134052,0.1551205826317262,0.1551205826317262,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000051,0.07043744309914,0.0081690990839186,0.2680116612802127,0.1155394011544237,0.1155394011544237,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000052,0.1935698528992967,0.0052679127239225,0.2543970133219407,0.1510782596483866,0.1510782596483866,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000053,0.4489548172212684,0.0057457530795323,0.3032671258913458,0.2526558987307155,0.2526558987307155,Low,Isolation Forest detected an anomalous pattern (requires review)
INV000054,0.1164126059420141,0.0075164305678438,0.1740788680882869,0.0993359681993816,0.0993359681993816,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000055,0.1283311823044012,0.0016410168074625,0.3593599295133456,0.1631107095417364,0.1631107095417364,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000056,0.415162715228854,0.0144894524148874,1.0,0.4765507225479138,0.4765507225479138,Medium,Z-score analysis detected extreme feature values; Anomalous feature detected: cess_rate
INV000057,0.0478365725365059,0.002883386401494,0.142684693215948,0.0644682173846493,0.0644682173846493,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000058,0.044072807693107,0.0107826233799216,0.2782322196936216,0.1110292169222167,0.1110292169222167,Low,"No strong method-level or feature-level anomaly flags, but manual review may be useful"
INV000059,0.490853670709241,0.0338115101698795,1.0,0.5082217269597068,0.5082217269597068,Medium,Isolation Forest detected an anomalous pattern (requires review); Local Outlier Factor detected a local anomaly (requires review); Z-score analysis detected extreme feature values; Anomalous feature detected: cess_rate; Total amount mismatch detected (high z-score)
INV000060,0.5863069768446716,0.0107061197343429,0.8513167946199491,0.4827766303996545,0.4827766303996545,Medium,Isolation Forest detected an anomalous pattern (requires review); Z-score analysis detected extreme feature values; Anomalous feature detected: supplier_buyer_frequency
