invoice_no,zscore_anomaly,max_abs_zscore,extreme_feature_count
INV000001,0,0.5847353760623348,0
INV000002,0,1.271965036580983,0
INV000003,0,0.5847353760623348,0
INV000004,0,0.683671079604335,0
INV000005,0,1.271965036580983,0
INV000006,0,1.271965036580983,0
INV000007,0,1.2189386038956698,0
INV000008,0,1.271965036580983,0
INV000009,0,1.45309884819142,0
INV000010,0,1.45309884819142,0
INV000011,0,0.683671079604335,0
INV000012,0,1.2189386038956698,0
INV000013,0,1.45309884819142,0
INV000014,0,1.45309884819142,0
INV000015,0,1.271965036580983,0
INV000016,0,1.45309884819142,0
INV000017,0,0.2682884635077665,0
INV000018,0,1.45309884819142,0
INV000019,0,1.271965036580983,0
INV000020,0,0.683671079604335,0
INV000021,0,1.271965036580983,0
INV000022,0,1.271965036580983,0
INV000023,0,1.271965036580983,0
INV000024,0,1.3935193658509117,0
INV000025,0,0.4815583927829996,0
INV000026,0,0.44259776730242556,0
INV000027,0,1.271965036580983,0
INV000028,0,1.45309884819142,0
INV000029,0,1.45309884819142,0
INV000030,0,0.9173071355154053,0
INV000031,0,0.683671079604335,0
INV000032,0,0.5053687540562217,0
INV000033,0,0.683671079604335,0
INV000034,0,1.271965036580983,0
INV000035,0,1.271965036580983,0
INV000036,0,1.45309884819142,0
INV000037,0,0.683671079604335,0
INV000038,0,1.271965036580983,0
INV000039,0,1.271965036580983,0
INV000040,0,0.683671079604335,0
INV000041,0,1.271965036580983,0
INV000042,0,0.683671079604335,0
INV000043,0,0.683671079604335,0
INV000044,0,0.5847353760623348,0
INV000045,0,1.45309884819142,0
INV000046,0,1.2189386038956698,0
INV000047,0,2.187057000155257,0
INV000048,0,0.44259776730242556,0
INV000049,0,0.5847353760623348,0
INV000050,0,1.271965036580983,0
INV000051,0,0.5847353760623348,0
INV000052,0,1.2189386038956698,0
INV000053,0,1.45309884819142,0
INV000054,0,0.5847353760623348,0
INV000055,0,1.45309884819142,0
INV000056,0,1.5208767557444807,0
INV000057,0,0.683671079604335,0
INV000058,0,1.271965036580983,0
INV000059,0,1.271965036580983,0
INV000060,0,2.3458703174782003,0
INV000061,0,0.44259776730242556,0
INV000062,0,1.45309884819142,0
INV000063,0,1.271965036580983,0
INV000064,0,1.45309884819142,0
INV000065,0,0.683671079604335,0
INV000066,0,0.683671079604335,0
INV000067,0,1.45309884819142,0
INV000068,0,0.683671079604335,0
INV000069,0,1.271965036580983,0
INV000070,0,1.45309884819142,0
INV000071,0,1.271965036580983,0
INV000072,0,1.45309884819142,0
INV000073,0,1.45309884819142,0
INV000074,0,1.0274565274799097,0
INV000075,0,1.271965036580983,0
INV000076,0,1.45309884819142,0
INV000077,0,0.683671079604335,0
INV000078,0,0.5087511084808379,0
INV000079,0,0.5847353760623348,0
INV000080,0,0.683671079604335,0
INV000081,0,1.271965036580983,0
INV000082,0,1.271965036580983,0
